"TABLE 1","","","","",""
"#","R.","Nome","Squadra","FVM","Quot ."
"#1","P ( Por )","Provedel","Lazio","60 ( 60 )","15 ( 15 )"
"#2","P ( Por )","Adamonis","Lazio","1 ( 1 )","1 ( 1 )"
"#3","P ( Por )","Sepe","Lazio","1 ( 1 )","1 ( 1 )"
"#4","D ( DC )","Romagnoli","Lazio","36 ( 36 )","12 ( 12 )"
"# 5","D ( DC )","Casale","Lazio","22 ( 22 )","10 ( 10 )"
"# 6","D ( Dd , Ds , E )","Hysaj","Lazio","15 ( 18 )","6 ( 7 )"
"# 7","D ( Dd , E )","Lazzari","Lazio","16 ( 16 )","6 ( 6 )"
"# 8","D ( Dd , Ds.E )","Marusic","Lazio","15 ( 20 )","6 ( 7 )"
"# 9","D ( Dd , Dc )","Patric","Lazio","5 ( 6 )","5 ( 6 )"
"# 10","D ( Ds , E )","Pellegrini Lu .","Lazio","8 ( 8 )","4 ( 4 )"
"# 11","D ( DC )","Gila","Lazio","2 ( 2 )","1 ( 1 )"
"# 12","C ( W , A )","Zaccagni","Lazio","162 ( 160 )","27 ( 27 )"
"# 13","C ( W , A )","Felipe Anderson","Lazio","114 ( 120 )","22 ( 22 )"
"# 14","C ( C , T )","Luis Alberto","Lazio","90 ( 94 )","21 ( 22 )"
"# 15","C ( C , T )","Kamada","Lazio","48 ( 45 )","14 ( 14 )"
"# 16","C ( M , C )","Cataldi","Lazio","12 ( 14 )","7 ( 8 )"
"# 17","C ( M , C )","Vecino","Lazio","7 ( 8 )","6 ( 7 )"
"# 18","C ( C )","Basic","Lazio","6 ( 5 )","4 ( 4 )"
"# 19","C ( M , C )","Marcos Antonio","Lazio","7 ( 7 )","4 ( 6 )"
"# 20","C ( M , C )","Rovella","Lazio","10 ( 12 )","4 ( 6 )"
"# 21","A ( Pc )","Immobile","Lazio","327 ( 317 )","31 ( 31 )"
"# 22","A ( Pc )","Castellanos","Lazio","28 ( 22 )","12 ( 11 )"
"# 23","A ( A )","Isaksen","Lazio","21 ( 21 )","12 ( 12 )"
"# 24","A ( A )","Pedro","Lazio","18 ( 18 )","12 ( 12 )"
"Lecce","","","","",""
"# 1","P ( Por )","Falcone","Lecce","22 ( 22 )","8 ( 8 )"
"# 2","P ( Por )","Borbei","Lecce","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Brancolini","Lecce","1 ( 1 )","1 ( 1 )"
"# 4","D ( Dd , Dc )","Baschirotto","Lecce","32 ( 35 )","11 ( 11 )"
"# 5","D ( Ds , E )","Gallo","Lecce","9 ( 9 )","6 ( 6 )"
"# 6","D ( Dd , E )","Gendrey","Lecce","8 ( 9 )","6 ( 6 )"
"# 7","D ( DC )","Pongracic","Lecce","6 ( 6 )","5 ( 5 )"
"# 8","D ( Dd , Ds , E )","Venuti","Lecce","5 ( 7 )","4 ( 4 )"
"# 9","D ( Ds , Dc )","Touba","Lecce","5 ( 5 )","3 ( 3 )"
"# 10","D ( Ds , E )","Dorgu","Lecce","8 ( 8 )","2 ( 2 )"
"# 11","D ( DC )","Dermaku","Lecce","1 ( 1 )","1 ( 1 )"
"# 12","D ( DC )","Smajlovic","Lecce","1 ( 1 )","1 ( 1 )"
"# 13","C ( W )","Strefezza","Lecce","69 ( 69 )","17 ( 16 )"
"# 14","C ( M , C )","Blin","Lecce","5 ( 6 )","6 ( 6 )"
"# 15","C ( C )","Gonzalez J.","Lecce","9 ( 9 )","6 ( 6 )"
"# 16","C ( M , C )","Kaba","Lecce","7 ( 8 )","6 ( 7 )"
"# 17","C ( W , T )","Oudin","Lecce","9 ( 8 )","6 ( 5 )"
"# 18","C ( M , C )","Ramadani","Lecce","11 ( 13 )","6 ( 7 )"
"# 19","C ( C.T )","Rafia","Lecce","16 ( 16 )","5 ( 5 )"
"# 20","C ( C )","Maleh","Lecce","4 ( 4 )","4 ( 4 )"
"# 21","C ( M , C )","Faticanti","Lecce","6 ( 6 )","1 ( 1 )"
"# 22","C ( C , T )","Helgason","Lecce","1 ( 1 )","1 ( 1 )"
"# 23","C ( C , T )","Berisha M.","Lecce","0 ( 0 )","0 ( 0 )"
"# 24","C ( W )","Listkowski","Lecce","0 ( 0 )","0 ( 0 )"
"# 25","A ( Pc )","Krstovic","Lecce","32 ( 25 )","12 ( 12 )"
"# 26","A ( A )","Almqvist","Lecce","26 ( 30 )","11 ( 11 )"
"# 27","A ( A )","Banda","Lecce","12 ( 12 )","9 ( 9 )"
"# 28","A ( A )","Di Francesco F.","Lecce","8 ( 8 )","9 ( 9 )"
"# 29","A ( Pc )","Burnete","Lecce","2 ( 2 )","2 ( 2 )"
"# 30","A ( A )","Corfitzen","Lecce","1 ( 1 )","1 ( 1 )"
"# 31","A ( Pc )","Voelkerling Persson","Lecce","1 ( 1 )","1 ( 1 )"
"Milan","","","","",""
"#1","P ( Por )","Maignan","Milan","89 ( 89 )","17 ( 17 )"
"","","","","",""
"TABLE 4","","","","",""
"","","","","",""
"# 12","D ( DC )","Pellegrino","Milan","1 ( 1 )","1 ( 1 )"
"# 13","C ( T.A )","Pulisic","Milan","126 ( 120 )","20 ( 19 )"
"# 14","C ( W , A )","Chukwueze","Milan","75 ( 75 )","19 ( 18 )"
"# 15","C ( C )","Loftus - Cheek","Milan","33 ( 33 )","14 ( 14 )"
"# 16","C ( M , C )","Reijnders","Milan","40 ( 50 )","13 ( 14 )"
"# 17","C ( M , C )","Bennacer","Milan","9 ( 10 )","9 ( 10 )"
"# 18","C ( C )","Musah","Milan","18 ( 18 )","9 ( 9 )"
"# 19","C ( M , C )","Krunic","Milan","12 ( 14 )","6 ( 7 )"
"# 20","C ( C )","Pobega","Milan","8 ( 8 )","5 ( 4 )"
"# 21","C ( W )","Romero L.","Milan","8 ( 8 )","4 ( 4 )"
"# 22","C ( W )","Saelemaekers","Milan","7 ( 7 )","4 ( 4 )"
"# 23","C ( T )","Adli","Milan","3 ( 3 )","1 ( 1 )"
