,Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,Prezzo,Kap.,350K (8),350K (10),500K (8),500K (10),Titolarita,Bonus,Nome2
301,Lovric-Udinese,C,Lovric,Udinese,10.0,10.0,0.0,10.0,10.0,0.0,23.0,23.0,5.0,17.0,19.57,23.52,15.58,20.09,80.0,8.0,Sandi
302,Fee-Roma,C,Le Fee,Roma,10.0,10.0,0.0,10.0,10.0,0.0,21.0,21.0,0.5,15.0,17.07,17.64,17.81,20.77,65.0,7.0,Enzo
303,Locatelli-Juventus,C,Locatelli,Juventus,9.0,8.0,1.0,10.0,9.0,1.0,21.0,25.0,0.5,15.0,17.41,21.56,14.38,19.47,65.0,5.5,Manuel
304,Guendouzi-Lazio,C,Guendouzi,Lazio,9.0,10.0,-1.0,9.0,9.0,0.0,18.0,16.0,0.5,16.0,18.89,22.71,16.29,21.54,80.0,8.0,Matteo
305,Lobotka-Napoli,C,Lobotka,Napoli,9.0,9.0,0.0,10.0,10.0,0.0,16.0,20.0,0.5,17.0,18.78,22.66,16.67,22.03,85.0,1.0,Stanislav
306,Zurkowski-Empoli,C,Zurkowski,Empoli,9.0,10.0,-1.0,9.0,10.0,-1.0,23.0,23.0,0.5,10.0,11.54,14.23,12.66,14.82,75.0,8.0,Szymon
307,Castrovilli-Lazio,C,Castrovilli,Lazio,9.0,10.0,-1.0,9.0,10.0,-1.0,17.0,17.0,0.5,14.0,16.06,19.49,13.7,17.01,70.0,12.5,Gaetano
308,Gyasi-Empoli,C,Gyasi,Empoli,9.0,5.0,4.0,9.0,5.0,4.0,24.0,24.0,0.5,14.0,15.84,17.6,13.6,17.28,65.0,6.5,Emmanuel
309,Ilic-Torino,C,Ilic,Torino,9.0,7.0,2.0,9.0,7.0,2.0,27.0,27.0,9.0,19.0,21.24,26.4,18.33,22.59,80.0,6.0,Ivan
310,Ricci-Torino,C,Ricci S.,Torino,9.0,8.0,1.0,10.0,9.0,1.0,20.0,22.0,3.0,15.0,19.48,22.76,19.86,23.24,80.0,6.0,Samuele
311,Baldanzi-Roma,C,Baldanzi,Roma,9.0,8.0,1.0,9.0,8.0,1.0,20.0,20.0,0.5,16.0,18.96,23.43,14.66,20.43,60.0,9.5,Tommaso
312,Oristanio-Venezia,C,Oristanio,Venezia,9.0,9.0,0.0,9.0,10.0,-1.0,23.0,26.0,3.0,16.0,17.98,22.07,15.52,18.91,75.0,5.5,Gaetano Pio
313,Morente-Lecce,C,Tete Morente,Lecce,9.0,9.0,0.0,8.0,8.0,0.0,18.0,16.0,0.5,13.0,,14.9,,14.275681342073481,65.0,7.0,Tete
314,Verdi-Como,C,Verdi,Como,8.0,9.0,-1.0,8.0,9.0,-1.0,18.0,20.0,0.5,15.0,,15.73,,16.43,65.0,9.0,Simone
315,Duncan-Venezia,C,Duncan,Venezia,8.0,8.0,0.0,8.0,8.0,0.0,16.0,15.0,0.5,14.0,,14.98,,7.28,75.0,4.5,Alfred
316,Sottil-Fiorentina,C,Sottil,Fiorentina,8.0,9.0,-1.0,8.0,9.0,-1.0,20.0,20.0,0.5,11.0,,12.03,,10.9801578870631,55.0,9.0,Riccardo
317,Gaetano-Cagliari,C,Gaetano,Cagliari,8.0,9.0,-1.0,7.0,8.0,-1.0,40.0,35.0,6.0,1.0,,,,1.0088872819740327,,,
318,Kone-Roma,C,Kone' M.,Roma,8.0,8.0,0.0,9.0,9.0,0.0,17.0,19.0,0.5,13.0,15.38,16.9,17.98,18.37,70.0,4.5,Manu
319,Tchaouna-Lazio,C,Tchaouna,Lazio,8.0,9.0,-1.0,8.0,9.0,-1.0,21.0,20.0,8.0,16.0,20.15,23.93,16.1,19.52,60.0,5.5,Loum
320,Richardson-Fiorentina,C,Richardson,Fiorentina,8.0,8.0,0.0,8.0,8.0,0.0,16.0,17.0,0.5,14.0,16.15,16.68,13.63,17.97,65.0,4.5,Amir
321,Roon-Atalanta,C,De Roon,Atalanta,7.0,8.0,-1.0,8.0,9.0,-1.0,16.0,18.0,0.5,15.0,20.06,23.48,14.57,19.16,80.0,5.5,Marten
322,Badelj-Genoa,C,Badelj,Genoa,7.0,6.0,1.0,7.0,6.0,1.0,9.0,10.0,0.5,12.0,,13.67,,6.36,75.0,1.0,Milan
323,Vecino-Lazio,C,Vecino,Lazio,7.0,7.0,0.0,8.0,8.0,0.0,15.0,18.0,0.5,11.0,12.84,13.07,12.95,13.25,60.0,6.0,Matias
324,Shaarawy-Roma,C,El Shaarawy,Roma,7.0,8.0,-1.0,6.0,7.0,-1.0,19.0,17.0,0.5,16.0,17.91,21.83,24.94,28.85,65.0,9.0,Stephan
325,Mandragora-Fiorentina,C,Mandragora,Fiorentina,7.0,8.0,-1.0,8.0,9.0,-1.0,16.0,18.0,0.5,15.0,19.64,23.23,15.67,19.31,75.0,8.0,Rolando
326,Mazzitelli-Como,C,Mazzitelli,Como,7.0,8.0,-1.0,8.0,9.0,-1.0,18.0,20.0,0.5,15.0,,16.32,14.57,18.51,70.0,10.5,Luca
327,Bennacer-Milan,C,Bennacer,Milan,7.0,7.0,0.0,8.0,8.0,0.0,15.0,17.0,0.5,14.0,15.27,16.92,,7.3,75.0,10.0,Ismael
328,Duda-Verona,C,Duda,Verona,7.0,7.0,0.0,8.0,8.0,0.0,16.0,20.0,0.5,13.0,16.9,20.22,12.05,15.62,80.0,7.0,Ondrej
329,Rovella-Lazio,C,Rovella,Lazio,7.0,7.0,0.0,7.0,7.0,0.0,11.0,12.0,0.5,9.0,9.83,9.24,1.23,1.95,65.0,6.5,Nicolo
330,Fofana-Milan,C,Fofana Y.,Milan,7.0,8.0,-1.0,8.0,9.0,-1.0,19.0,22.0,0.5,13.0,21.97,23.73,12.63,17.56,70.0,4.5,Youssouf
331,Brescianini-Atalanta,C,Brescianini,Atalanta,7.0,4.0,3.0,7.0,5.0,2.0,38.0,48.0,7.0,12.0,21.66,26.29,29.22,33.67,60.0,7.0,Marco
332,Mckennie-Juventus,C,McKennie,Juventus,7.0,7.0,0.0,8.0,8.0,0.0,12.0,14.0,0.5,13.0,14.39,14.89,12.24,15.23,60.0,8.0,Weston
333,Gilmour-Napoli,C,Gilmour,Napoli,7.0,7.0,0.0,8.0,8.0,0.0,11.0,13.0,0.5,11.0,13.26,18.36,,4.85,65.0,1.0,Billy
334,Sohm-Parma,C,Sohm,Parma,7.0,5.0,2.0,6.0,4.0,2.0,13.0,13.0,0.5,10.0,11.32,12.06,10.01,12.11,70.0,2.0,Simon
335,Oudin-Lecce,C,Oudin,Lecce,7.0,7.0,0.0,7.0,7.0,0.0,16.0,18.0,0.5,13.0,,13.84,,14.275681342073481,65.0,7.0,Remi
336,Payero-Udinese,C,Payero,Udinese,7.0,8.0,-1.0,7.0,7.0,0.0,13.0,10.0,0.5,13.0,,14.74,,7.24,65.0,6.0,Martin
337,Marchwinski-Lecce,C,Marchwinski,Lecce,7.0,8.0,-1.0,6.0,7.0,-1.0,14.0,14.0,4.0,14.0,15.65,15.89,14.02,17.69,75.0,8.0,Filip
338,Ekkelenkamp-Udinese,C,Ekkelenkamp,Udinese,7.0,6.0,1.0,7.0,6.0,1.0,12.0,12.0,5.0,12.0,,13.47,,6.36,70.0,8.0,Jurgen
339,Paz-Como,C,Paz N.,Como,7.0,7.0,0.0,6.0,6.0,0.0,22.0,22.0,3.0,15.0,16.46,16.62,15.68,19.31,75.0,8.0,Nico
340,Paredes-Roma,C,Paredes,Roma,6.0,7.0,-1.0,7.0,8.0,-1.0,16.0,18.0,0.5,13.0,17.52,20.6,13.93,18.31,75.0,3.5,Leandro
341,Sensi-Monza,C,Sensi,Monza,6.0,7.0,-1.0,6.0,7.0,-1.0,16.0,16.0,0.5,13.0,,14.89,15.07,14.275681342073481,70.0,6.5,Stefano
342,Ikone-Fiorentina,C,Ikone',Fiorentina,6.0,5.0,1.0,6.0,5.0,1.0,13.0,13.0,0.5,10.0,,11.51,,9.495054826306982,65.0,9.0,Jonathan
343,Weah-Juventus,C,Weah,Juventus,6.0,5.0,1.0,5.0,4.0,1.0,21.0,20.0,0.5,14.0,17.85,21.25,13.62,18.96,60.0,5.5,Timothy
344,Tameze-Torino,C,Tameze,Torino,6.0,5.0,1.0,6.0,6.0,0.0,9.0,11.0,0.5,13.0,,14.07,12.24,14.275681342073481,75.0,7.0,Adrien
345,Marin-Cagliari,C,Marin,Cagliari,6.0,6.0,0.0,6.0,6.0,0.0,20.0,25.0,0.5,9.0,1.41,5.57,3.3,4.77,65.0,6.5,Razvan
346,Busio-Venezia,C,Busio,Venezia,6.0,7.0,-1.0,6.0,7.0,-1.0,15.0,14.0,3.0,13.0,15.31,18.7,12.63,16.36,80.0,8.0,Gianluca
347,Adli-Fiorentina,C,Adli,Fiorentina,6.0,5.0,1.0,6.0,6.0,0.0,13.0,17.0,0.5,10.0,10.11,11.24,10.06,19.43,65.0,6.5,Yacine
348,Fazzini-Empoli,C,Fazzini,Empoli,6.0,4.0,2.0,6.0,4.0,2.0,23.0,23.0,7.0,12.0,13.55,16.67,11.01,14.44,75.0,5.5,Jacopo
349,Iling-Bologna,C,Iling Junior,Bologna,6.0,6.0,0.0,6.0,6.0,0.0,12.0,12.0,3.0,13.0,14.52,18.01,,6.89,65.0,6.5,ILING-Samuel
350,Folorunsho-Napoli,C,Folorunsho,Napoli,6.0,7.0,-1.0,6.0,7.0,-1.0,15.0,15.0,0.5,14.0,,13.69,13.2,14.39,60.0,10.5,Michael
351,Ramadani-Lecce,C,Ramadani,Lecce,6.0,5.0,1.0,7.0,6.0,1.0,10.0,12.0,0.5,12.0,,12.13,,13.78,85.0,2.0,Ylber
352,Karlsson-Bologna,C,Karlsson,Bologna,6.0,7.0,-1.0,5.0,6.0,-1.0,15.0,15.0,0.5,11.0,,12.93,,10.9801578870631,55.0,8.0,Jesper
353,Dele-Lazio,C,Dele-Bashiru,Lazio,6.0,5.0,1.0,6.0,5.0,1.0,21.0,21.0,0.5,11.0,13.45,13.9,10.68,13.65,60.0,7.0,DELE-Fisayo
354,Karlstrom-Udinese,C,Karlstrom,Udinese,6.0,5.0,1.0,6.0,5.0,1.0,8.0,8.0,0.5,13.0,,17.23,,6.89,65.0,4.5,Jesper
355,Keita-Parma,C,Keita M.,Parma,6.0,6.0,0.0,7.0,7.0,0.0,12.0,14.0,0.5,11.0,,13.93,,10.9801578870631,75.0,1.0,Mandela
356,Viola-Cagliari,C,Viola,Cagliari,5.0,6.0,-1.0,5.0,6.0,-1.0,14.0,14.0,0.5,10.0,,11.76,,9.495054826306982,60.0,7.0,Nicolas
357,Gagliardini-Monza,C,Gagliardini,Monza,5.0,5.0,0.0,6.0,6.0,0.0,9.0,11.0,0.5,9.0,,4.92,,8.11839087671691,75.0,5.5,Roberto
358,Kastanos-Verona,C,Kastanos,Verona,5.0,4.0,1.0,5.0,4.0,1.0,7.0,7.0,0.5,10.0,,11.08,,5.3,65.0,5.5,Grigoris
359,Barak-Fiorentina,C,Barak,Fiorentina,5.0,6.0,-1.0,5.0,6.0,-1.0,14.0,12.0,0.5,12.0,,13.67,,6.36,65.0,11.5,Antonin
360,Valoti-Monza,C,Valoti,Monza,5.0,6.0,-1.0,5.0,6.0,-1.0,13.0,13.0,0.5,8.0,,3.45,,6.850166038292885,65.0,7.0,Mattia
361,Thorsby-Genoa,C,Thorsby,Genoa,5.0,5.0,0.0,4.0,4.0,0.0,10.0,8.0,0.5,10.0,,9.5,,9.495054826306982,65.0,6.0,Morten
362,Hernani-Parma,C,Hernani,Parma,5.0,6.0,-1.0,4.0,5.0,-1.0,11.0,9.0,0.5,10.0,,11.52,,11.66,75.0,9.0,-
363,Henderson-Empoli,C,Henderson L.,Empoli,5.0,4.0,1.0,5.0,4.0,1.0,8.0,8.0,0.5,11.0,,13.08,,10.9801578870631,65.0,6.5,Liam
364,Musah-Milan,C,Musah,Milan,5.0,4.0,1.0,5.0,4.0,1.0,10.0,10.0,0.5,10.0,,11.93,,4.85,60.0,0.0,Yunus
365,Bove-Fiorentina,C,Bove,Fiorentina,5.0,5.0,0.0,6.0,6.0,0.0,12.0,14.0,0.5,8.0,4.39,3.79,,4.77,60.0,3.5,Edoardo
366,Coulibaly-Lecce,C,Coulibaly L.,Lecce,5.0,5.0,0.0,5.0,5.0,0.0,9.0,10.0,0.5,9.0,,1.26,,8.11839087671691,65.0,4.5,Lassana
367,Asllani-Inter,C,Asllani,Inter,5.0,5.0,0.0,6.0,6.0,0.0,14.0,17.0,0.5,8.0,2.54,7.51,,3.53,55.0,8.0,Kristjan
368,Bondo-Monza,C,Bondo,Monza,5.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,0.5,9.0,,5.61,0.94,1.21,75.0,4.5,Warren
369,Perrone-Como,C,Perrone,Como,5.0,4.0,1.0,5.0,4.0,1.0,7.0,7.0,0.5,8.0,,2.53,,6.850166038292885,65.0,0.0,Maximo
370,Forson-Monza,C,Forson O.,Monza,5.0,6.0,-1.0,5.0,6.0,-1.0,13.0,13.0,0.5,8.0,,1.15,,0.48,60.0,7.0,Omari
371,Felici-Cagliari,C,Felici,Cagliari,5.0,5.0,0.0,6.0,6.0,0.0,12.0,15.0,0.5,7.0,,3.45,,10.31,60.0,7.0,Mattia
372,Fadera-Como,C,Fadera,Como,5.0,6.0,-1.0,4.0,5.0,-1.0,13.0,12.0,0.5,10.0,,,,9.495054826306982,70.0,4.5,Alieu
373,Deiola-Cagliari,C,Deiola,Cagliari,4.0,4.0,0.0,5.0,5.0,0.0,6.0,7.0,0.5,8.0,,1.26,,6.850166038292885,65.0,4.5,Alessandro
374,Linetty-Torino,C,Linetty,Torino,4.0,3.0,1.0,4.0,3.0,1.0,7.0,7.0,0.5,7.0,,3.03,,0.53,60.0,5.5,Karol
375,Saelemaekers-Roma,C,Saelemaekers,Roma,4.0,5.0,-1.0,4.0,5.0,-1.0,25.0,23.0,0.5,11.0,12.26,13.11,12.89,15.02,60.0,6.5,Alexis
376,Estevez-Parma,C,Estevez,Parma,4.0,4.0,0.0,5.0,5.0,0.0,10.0,12.0,0.5,9.0,,9.78,,8.11839087671691,65.0,3.5,Nahuel
377,Zalewski-Roma,C,Zalewski,Roma,4.0,2.0,2.0,4.0,2.0,2.0,8.0,7.0,0.5,11.0,,13.27,,10.9801578870631,60.0,6.5,Nicola
378,Urbanski-Bologna,C,Urbanski,Bologna,4.0,5.0,-1.0,5.0,6.0,-1.0,10.0,11.0,0.5,6.0,,,,4.639033694942977,60.0,5.5,Kacper
379,Maleh-Empoli,C,Maleh,Empoli,4.0,3.0,1.0,4.0,3.0,1.0,8.0,8.0,0.5,9.0,,6.54,,8.11839087671691,70.0,5.5,Youssef
380,Ciurria-Monza,C,Ciurria,Monza,4.0,5.0,-1.0,5.0,6.0,-1.0,8.0,10.0,0.5,10.0,12.09,15.1,,9.495054826306982,85.0,11.5,Patrick
381,Ellertsson-Venezia,C,Ellertsson,Venezia,4.0,2.0,2.0,4.0,2.0,2.0,11.0,11.0,0.5,8.0,,0.12,,1.06,45.0,0.0,Mikael
382,Rafia-Lecce,C,Rafia,Lecce,4.0,4.0,0.0,4.0,4.0,0.0,8.0,8.0,0.5,9.0,,0.95,,8.11839087671691,60.0,3.5,Hamza
383,Prati-Cagliari,C,Prati,Cagliari,4.0,4.0,0.0,5.0,5.0,0.0,12.0,14.0,0.5,10.0,11.45,11.81,,4.81,70.0,3.5,Matteo
384,Serdar-Verona,C,Serdar,Verona,4.0,5.0,-1.0,5.0,6.0,-1.0,10.0,12.0,0.5,10.0,,10.55,,9.495054826306982,70.0,4.5,Suat
385,Pierret-Lecce,C,Pierret,Lecce,4.0,4.0,0.0,5.0,5.0,0.0,8.0,9.0,0.5,12.0,,13.3,,6.05,75.0,6.0,Balthazar
386,Andersen-Venezia,C,Andersen M.k.,Venezia,4.0,2.0,2.0,4.0,2.0,2.0,13.0,13.0,0.5,7.0,,0.69,,5.690380311034907,55.0,3.5,Magnus
387,Grassi-Empoli,C,Grassi,Empoli,3.0,3.0,0.0,4.0,4.0,0.0,4.0,5.0,0.5,9.0,,0.84,,8.11839087671691,70.0,1.0,Alberto
388,Cataldi-Fiorentina,C,Cataldi,Fiorentina,3.0,3.0,0.0,3.0,3.0,0.0,7.0,7.0,0.5,7.0,,2.64,,5.690380311034907,65.0,4.5,Danilo
389,Baselli-Como,C,Baselli,Como,3.0,3.0,0.0,3.0,3.0,0.0,7.0,9.0,0.5,6.0,,7.6,,4.639033694942977,60.0,4.5,Daniele
390,Haas-Empoli,C,Haas,Empoli,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,0.5,5.0,,,,3.6961261900170936,60.0,3.5,Nicolas
391,Caviglia-Venezia,C,Nicolussi Caviglia,Venezia,3.0,1.0,2.0,3.0,1.0,2.0,4.0,5.0,0.5,9.0,,3.18,,9.01,70.0,5.5,Hans
392,Kostic-Juventus,C,Kostic,Juventus,3.0,4.0,-1.0,4.0,5.0,-1.0,5.0,5.0,0.5,12.0,,12.95,,6.36,65.0,6.5,Filip
393,Adopo-Cagliari,C,Adopo,Cagliari,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,0.5,6.0,,,,4.639033694942977,45.0,2.0,Ndary
394,Bjarkason-Venezia,C,Bjarkason,Venezia,3.0,4.0,-1.0,3.0,4.0,-1.0,6.0,6.0,0.5,8.0,,,,6.850166038292885,60.0,3.5,Bjarki
395,Miretti-Genoa,C,Miretti,Genoa,3.0,4.0,-1.0,3.0,4.0,-1.0,18.0,18.0,0.5,11.0,13.18,16.46,,6.44,70.0,6.5,Fabio
396,Vignato-Monza,C,Vignato S.,Monza,3.0,2.0,1.0,3.0,2.0,1.0,5.0,4.0,0.5,8.0,,1.15,,6.850166038292885,60.0,6.5,Samuele
397,Alidou-Verona,C,Alidou,Verona,3.0,3.0,0.0,3.0,3.0,0.0,6.0,5.0,0.5,9.0,,,,8.11839087671691,60.0,4.5,Faride
398,Moro-Bologna,C,Moro N.,Bologna,3.0,2.0,1.0,3.0,2.0,1.0,8.0,9.0,0.5,8.0,,3.27,,6.850166038292885,65.0,6.5,Nikola
399,Gineitis-Torino,C,Gineitis,Torino,3.0,4.0,-1.0,3.0,4.0,-1.0,12.0,10.0,0.5,4.0,,1.26,,2.8616577962572576,50.0,0.0,Gvidas
400,Zarraga-Udinese,C,Zarraga,Udinese,3.0,3.0,0.0,4.0,4.0,0.0,6.0,8.0,0.5,6.0,,,,4.639033694942977,55.0,0.0,Oier
401,Azzouzi-Bologna,C,El Azzouzi,Bologna,3.0,4.0,-1.0,4.0,5.0,-1.0,7.0,8.0,0.5,8.0,,1.26,,6.850166038292885,55.0,4.5,Oussama
402,Makoumbou-Cagliari,C,Makoumbou,Cagliari,3.0,4.0,-1.0,4.0,5.0,-1.0,7.0,8.0,0.5,8.0,,,,9.54,85.0,0.0,Antoine
403,Braunoder-Como,C,Braunoder,Como,3.0,3.0,0.0,4.0,4.0,0.0,8.0,10.0,0.5,8.0,,5.64,,6.850166038292885,70.0,0.0,Matthias
404,Engelhardt-Como,C,Engelhardt,Como,3.0,4.0,-1.0,3.0,4.0,-1.0,8.0,10.0,0.5,9.0,,0.99,,8.11839087671691,70.0,3.5,Yannik
405,Modesto-Udinese,C,Rui Modesto,Udinese,3.0,3.0,0.0,4.0,4.0,0.0,7.0,9.0,0.5,10.0,,10.85,,9.495054826306982,60.0,8.0,Muati Modesto
406,Yeboah-Venezia,C,Yeboah J.,Venezia,3.0,3.0,0.0,3.0,3.0,0.0,8.0,8.0,0.5,9.0,,,,8.11839087671691,60.0,8.0,John
407,Jankto-Cagliari,C,Jankto,Cagliari,2.0,3.0,-1.0,3.0,4.0,-1.0,6.0,7.0,0.5,8.0,,,,6.850166038292885,60.0,5.5,Jakub
408,Cyprien-Parma,C,Cyprien,Parma,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.5,7.0,,6.9,,5.690380311034907,55.0,4.5,Wylan
409,Bianco-Monza,C,Bianco,Monza,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.5,3.0,,,,2.1356285136634687,60.0,0.0,Alessandro
410,Pisilli-Roma,C,Pisilli,Roma,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.16,,0.53,15.0,0.0,Niccolo
411,Belahyane-Verona,C,Belahyane,Verona,2.0,1.0,1.0,2.0,1.0,1.0,4.0,6.0,0.5,3.0,,2.24,,2.65,60.0,2.5,Reda
412,Silva-Verona,C,Dani Silva,Verona,2.0,3.0,-1.0,2.0,3.0,-1.0,5.0,5.0,0.5,7.0,,,,5.690380311034907,55.0,3.5,-
413,Mitrovic-Verona,C,Mitrovic S.,Verona,2.0,3.0,-1.0,2.0,3.0,-1.0,6.0,5.0,0.5,9.0,,,,8.11839087671691,60.0,5.5,Stefan
414,Doumbia-Venezia,C,Doumbia I.,Venezia,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,1.0,,1.26,,0.44,30.0,0.0,Issa
415,Anjorin-Empoli,C,Anjorin,Empoli,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.5,1.0,,,,1.0088872819740327,,,
416,Akpro-Lazio,C,Akpa Akpro,Lazio,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.5,7.0,,,,5.690380311034907,55.0,1.0,Jean-Daniel
417,Pobega-Bologna,C,Pobega,Bologna,1.0,2.0,-1.0,2.0,3.0,-1.0,12.0,14.0,0.5,10.0,,11.19,9.42,12.12,70.0,8.0,Tommaso
418,Camara-Parma,C,Camara D.,Parma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,,,,2.8616577962572576,50.0,2.5,Drissa
419,Crnigoj-Venezia,C,Crnigoj,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,3.8,,2.1356285136634687,50.0,3.5,Domen
420,Kone-Como,C,Kone B.,Como,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,,,2.1356285136634687,35.0,1.0,Ben Lhassine
421,Bohinen-Genoa,C,Bohinen,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,,,2.1356285136634687,50.0,5.5,Emil
422,Zerbin-Napoli,C,Zerbin,Napoli,1.0,2.0,-1.0,1.0,2.0,-1.0,4.0,4.0,0.5,8.0,,,,6.850166038292885,55.0,6.0,Alessio
423,Berisha-Lecce,C,BERISHA M.,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,5.0,,,,3.6961261900170936,35.0,0.0,Medon
424,Sulemana-Atalanta,C,Sulemana I.,Atalanta,1.0,2.0,-1.0,2.0,3.0,-1.0,4.0,5.0,0.5,7.0,,,,5.690380311034907,60.0,3.5,-
425,Belardinelli-Empoli,C,Belardinelli,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,1.0,Luca
426,Kaba-Lecce,C,Kaba,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,7.0,,,,5.690380311034907,60.0,4.5,Mohamed
427,Zeroli-Milan,C,Zeroli,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,1.0,Kevin
428,Buchanan-Inter,C,Buchanan T.,Inter,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,8.0,,1.11,,0.53,60.0,4.5,Tajon
429,Adzic-Juventus,C,Adzic,Juventus,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.2,,0.53,15.0,1.0,Vasilije
430,Liberali-Milan,C,Liberali,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.2,,1.0088872819740327,10.0,0.0,Mattia
431,Cassa-Atalanta,C,Cassa,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
432,Byar-Bologna,C,Byar,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,15.0,0.0,Naïm
433,Manzoni-Atalanta,C,Manzoni,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
434,Vos-Milan,C,Vos,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
435,Hasa-Lecce,C,Hasa,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
436,Atta-Udinese,C,Atta,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,5.0,,,,3.6961261900170936,60.0,3.5,Arthur
437,Vlahovic-Juventus,A,Vlahovic,Juventus,37.0,37.0,0.0,38.0,38.0,0.0,380.0,380.0,105.0,49.0,142.33,175.0,162.83,151.96,80.0,17.0,Dusan
438,Lukaku-Napoli,A,Lukaku,Napoli,34.0,33.0,1.0,34.0,33.0,1.0,355.0,355.0,75.0,41.0,107.86,124.03,156.7,148.75,80.0,14.5,Romelu
439,Thuram-Inter,A,Thuram,Inter,34.0,31.0,3.0,33.0,30.0,3.0,300.0,300.0,81.0,43.0,111.45,136.84,113.64,122.98,80.0,16.0,Marcus
440,Dybala-Roma,A,Dybala,Roma,32.0,34.0,-2.0,33.0,35.0,-2.0,230.0,230.0,66.0,39.0,65.28,68.12,53.74,69.37,80.0,17.5,Paulo
441,Dovbyk-Roma,A,Dovbyk,Roma,30.0,32.0,-2.0,29.0,31.0,-2.0,226.0,226.0,63.0,36.0,84.56,88.73,76.03,94.54,80.0,13.5,Artem
442,Kvaratskhelia-Napoli,A,Kvaratskhelia,Napoli,29.0,29.0,0.0,30.0,30.0,0.0,262.0,262.0,75.0,44.0,94.7,111.04,79.99,101.52,85.0,17.0,Khvicha
443,Scamacca-Atalanta,A,Scamacca,Atalanta,26.0,28.0,-2.0,25.0,27.0,-2.0,145.0,140.0,0.5,35.0,36.45,39.47,32.38,42.55,80.0,16.0,Gianluca
444,Lookman-Atalanta,A,Lookman,Atalanta,26.0,28.0,-2.0,27.0,29.0,-2.0,208.0,222.0,45.0,32.0,63.33,67.55,53.3,67.15,70.0,14.0,Ademola
445,Morata-Milan,A,Morata,Milan,25.0,26.0,-1.0,25.0,26.0,-1.0,181.0,179.0,60.0,38.0,101.85,110.92,58.54,91.85,80.0,16.5,Alvaro
446,Zapata-Torino,A,Zapata D.,Torino,25.0,25.0,0.0,25.0,25.0,0.0,172.0,170.0,54.0,33.0,80.52,93.8,52.3,80.66,80.0,15.5,Duvan
447,Leao-Milan,A,Leao,Milan,25.0,25.0,0.0,26.0,26.0,0.0,220.0,220.0,57.0,41.0,77.15,90.39,70.8,83.04,80.0,17.5,Rafael
448,Gudmundsson-Fiorentina,A,Gudmundsson A.,Fiorentina,25.0,27.0,-2.0,26.0,28.0,-2.0,158.0,161.0,45.0,31.0,31.28,42.03,31.58,46.13,80.0,15.0,Albert
449,Gonzalez-Juventus,A,Gonzalez N.,Juventus,23.0,25.0,-2.0,24.0,26.0,-2.0,100.0,103.0,30.0,31.0,53.16,59.04,37.29,42.97,75.0,13.0,Nicolas
450,Castellanos-Lazio,A,Castellanos,Lazio,23.0,21.0,2.0,23.0,21.0,2.0,130.0,127.0,21.0,27.0,46.79,48.67,43.76,75.76,70.0,8.5,Valentin
451,Retegui-Atalanta,A,Retegui,Atalanta,22.0,20.0,2.0,21.0,19.0,2.0,200.0,200.0,66.0,32.0,67.26,71.79,71.56,101.17,70.0,11.0,Mateo
